age	tech	time
36	m	19.82724
45	k	25.51767
20	t	9.66186
39	t	8.68451
47	t	5.05552
44	k	20.14218
50	k	23.18978
59	t	11.72495
37	m	11.90586
26	t	9.19435
47	k	32.48932
44	t	11.51941
36	m	12.86969
52	t	20.24757
52	m	29.67191
56	t	7.20281
54	k	21.44878
25	m	11.55108
39	k	18.72134
40	t	8.78428
22	m	28.47457
42	k	18.19894
40	m	21.51953
34	k	7.77303
30	t	5.43906
46	m	10.00830
33	k	23.52815
43	m	7.05001
35	t	20.97545
29	m	19.34703
23	m	9.86815
27	k	21.62400
28	k	28.80868
52	m	7.41218
62	m	7.92812
35	k	15.75000
33	m	17.41430
28	k	15.48039
62	t	13.12168
62	k	7.49424
44	k	33.44612
39	k	30.97076
48	k	20.40229
34	t	11.08151
53	k	13.02283
56	t	16.09625
29	t	13.41697
38	m	28.24519
31	m	22.64007
33	t	15.23060
30	t	12.72627
48	t	18.80790
37	t	15.30813
39	m	18.23834
38	m	14.74534
23	m	16.81316
20	m	27.64173
47	k	15.42615
42	t	7.93044
36	t	24.61369
41	k	18.03790
20	t	14.71728
46	t	8.17538
63	k	26.98575
32	m	12.86342
33	t	19.85525
57	t	6.68488
42	t	15.61829
29	m	17.16740
28	k	23.92295
26	k	10.55153
52	t	15.75078
36	k	22.64884
32	t	25.77487
36	k	20.06983
35	m	16.92058
19	t	17.55029
30	k	38.97393
24	k	20.99165
39	m	9.40017
39	m	12.96754
45	t	10.55677
43	t	6.67848
34	m	16.93487
40	k	36.01417
21	k	16.24771
50	t	27.67080
34	t	12.01514
24	k	20.24547
39	t	11.41279
19	k	30.58938
20	m	12.84017
38	k	21.43697
41	k	19.21183
45	t	15.51746
37	t	6.40428
23	m	19.69228
34	m	8.35387
17	k	35.15786
44	m	8.73268
64	k	15.54627
41	k	18.98802
27	t	11.88360
22	k	22.37805
28	k	21.48067
59	m	5.97331
22	t	10.90533
29	k	15.35423
46	k	9.76781
45	t	5.72928
45	k	29.52815
32	t	18.45970
32	t	12.64593
21	t	16.77047
31	m	8.26164
32	t	5.42398
36	m	15.06924
32	k	31.43029
33	m	23.24774
26	k	14.25182
58	t	10.34271
30	t	6.33334
24	m	19.52625
55	k	34.23896
29	k	22.29862
18	m	13.31057
32	m	10.96259
29	m	19.09801
48	t	11.33476
57	t	6.42797
31	k	22.29055
53	k	27.62249
40	m	23.12657
43	t	11.61499
55	m	7.80025
19	t	22.41335
31	m	27.34312
33	t	4.68617
29	m	16.17091
23	t	23.90834
48	t	10.50195
58	t	21.24950
29	k	20.62080
56	k	29.17098
27	t	13.55066
27	k	11.92433
30	k	19.89719
42	m	11.32977
19	t	23.35793
29	t	14.18580
20	k	33.71000
28	m	11.59084
37	m	18.79177
35	t	8.16387
37	k	25.56334
25	m	10.18068
39	m	16.72332
30	k	24.48785
33	m	14.94126
39	t	6.78870
21	k	10.41630
45	m	6.20158
34	k	31.87608
47	k	21.20697
56	k	18.38090
48	m	8.22226
46	m	22.34208
48	m	8.29203
32	t	12.57540
29	k	10.47263
24	k	19.62393
33	t	19.65566
33	m	14.97525
53	m	19.54199
26	m	16.54489
28	k	28.68752
60	m	14.95752
32	m	28.73175
25	m	5.59919
39	m	20.32840
40	m	12.26022
33	k	12.75476
36	k	12.71833
55	k	12.22931
40	t	7.25115
65	t	17.69899
58	m	10.00225
32	t	17.36219
30	t	11.05992
40	t	14.18968
36	m	14.23561
28	k	30.25498
51	t	13.07200
41	k	36.43844
52	t	10.44882
27	t	18.22044
53	k	22.22746
30	m	13.09063
34	m	25.01639
19	k	8.24657
34	k	15.25023
57	k	38.16568
63	t	6.73491
30	t	5.09185
19	m	8.06553
37	m	28.84991
50	k	23.67184
30	m	9.67879
31	m	20.90871
32	k	33.95260
66	m	20.94699
39	m	17.49653
43	t	9.08413
29	k	14.95888
34	t	12.02722
25	t	10.08507
33	m	8.42279
32	k	14.14270
42	k	25.51926
46	t	4.47464
51	t	14.78472
55	t	6.40014
51	t	20.54930
23	m	22.06398
30	m	8.33187
45	k	36.12517
23	t	6.42551
29	k	25.59852
42	t	5.37239
16	t	25.44059
25	t	12.25132
31	t	20.56329
30	k	19.42716
36	k	21.42710
41	k	16.17652
54	k	16.92017
45	k	22.73142
27	m	10.68272
24	m	21.68218
39	k	23.56909
30	t	10.78579
56	k	18.62784
23	m	21.40101
22	k	27.77325
35	t	15.77853
54	m	18.80745
36	k	20.07348
33	t	22.20456
38	k	21.94921
43	t	13.55632
43	k	22.49859
30	t	11.67906
37	t	6.29109
58	m	13.60449
36	m	24.13845
34	t	12.32174
38	t	12.78240
40	k	28.54005
39	m	14.97162
42	t	8.65707
45	t	13.75406
30	t	10.41953
36	m	9.57543
36	k	24.97829
58	m	14.75153
43	t	12.85922
39	t	18.75141
47	t	9.69541
61	t	5.13868
39	t	8.01738
52	t	17.57486
48	m	27.65507
34	t	13.81173
38	m	19.95301
42	k	20.93342
44	t	6.24884
26	k	21.16638
38	m	15.52554
34	k	29.78153
37	t	12.98031
56	t	18.21303
24	k	23.59661
21	t	9.67344
32	k	21.24991
31	k	28.22480
39	t	8.50450
23	k	32.27235
42	t	6.91477
60	m	9.21499
35	t	9.57957
43	k	32.31402
17	t	16.53065
42	m	10.63242
29	k	21.28656
36	t	10.57889
26	m	16.87221
47	t	5.59001
50	m	15.84897
21	t	9.56751
35	t	5.73752
49	k	19.78718
39	k	20.25510
32	m	13.96901
44	t	13.37740
38	k	10.24519
28	t	21.81834
37	t	7.40461
40	k	36.56534
39	t	5.53508
65	m	9.16985
42	m	29.03201
21	k	16.52211
64	t	5.61620
34	m	12.98222
46	t	15.78904
27	k	18.26417
36	k	24.92243
37	t	17.19896
49	t	7.19671
25	t	4.50342
43	m	12.25339
35	m	14.68309
25	m	14.44427
42	k	11.32235
37	m	23.17975
61	m	11.59453
22	k	18.48496
27	m	16.44201
39	k	12.91882
36	k	16.52984
30	k	19.49859
47	t	25.79687
34	m	11.47777
54	m	13.55765
19	k	17.09319
52	k	10.75143
27	t	13.39489
49	m	9.17405
56	k	24.80049
23	t	23.93304
51	m	15.47069
48	m	20.22263
24	t	15.07432
42	k	20.59981
31	t	8.93682
41	m	9.78306
37	k	20.28420
48	k	33.66106
30	m	17.34698
48	t	13.93417
58	k	19.56667
35	t	20.18860
60	m	8.21189
47	m	21.98851
56	t	23.10550
54	m	14.65830
33	k	28.37622
38	t	24.01673
35	m	17.08744
32	k	19.95011
26	k	25.87757
36	k	8.57623
53	t	6.83194
37	m	6.35580
28	t	16.35888
34	m	15.99317
30	m	8.97897
19	k	31.52764
55	m	11.00642
22	t	11.64862
47	k	8.35965
38	k	35.43948
52	k	22.58615
65	t	23.90609
34	k	25.24357
44	m	22.58053
33	k	23.02512
26	k	22.81710
59	k	33.78829
22	m	7.45215
46	t	10.20530
28	m	19.08807
37	t	16.82033
39	k	24.42575
26	t	7.67843
35	m	15.59677
35	t	8.11802
64	m	11.02577
23	m	15.05790
22	t	12.53886
35	t	11.29628
39	k	30.49077
29	t	16.51298
58	m	27.33772
35	m	21.70089
35	m	28.83168
24	k	12.60103
39	t	10.10349
39	m	22.42862
24	t	12.79053
39	m	6.59921
51	m	17.38662
31	k	13.89494
21	t	21.58217
31	t	7.83923
37	m	32.45298
45	t	21.64162
56	m	19.30298
32	t	7.65328
38	k	22.18713
45	k	25.75173
42	m	9.73542
62	t	17.47136
33	k	22.85342
25	k	28.42784
27	m	32.93608
42	m	9.56521
32	m	8.89432
46	m	8.84775
41	k	30.80047
43	t	4.19069
40	m	14.17995
30	k	13.85178
45	k	14.45786
31	m	14.31092
38	k	26.63802
41	t	15.14248
25	k	16.35231
42	t	4.15394
56	m	21.42543
36	t	4.83134
46	t	4.87244
21	k	12.85779
44	k	11.20409
32	k	30.46200
31	t	5.83767
47	m	8.67719
35	t	6.87853
50	k	29.15219
21	m	12.37924
58	t	9.88042
53	k	20.21384
42	k	17.00251
53	t	14.11443
24	m	28.50703
28	m	9.69148
27	m	10.25319
54	t	25.89810
20	k	11.84420
34	t	11.67849
57	m	5.98540
25	k	8.18747
28	t	16.14776
51	k	24.12674
31	k	27.50782
26	k	27.61859
37	k	23.10174
32	t	13.08991
27	t	4.91148
19	m	25.09440
33	t	16.90724
25	m	7.55925
52	m	10.89989
48	k	17.97499
58	k	11.51214
31	k	25.04799
24	m	16.23863
30	m	30.21618
25	k	23.58094
25	t	12.96839
37	k	19.45840
24	k	31.93467
30	m	13.79653
29	t	6.79681
40	m	23.61544
31	k	26.09355
28	m	15.80846
60	m	22.18223
28	m	13.46141
